,IL2412_cMC_167Er_ERK12,IL2412_MDSC_167Er_ERK12,IL2412_intMC_167Er_ERK12,IL2412_ncMC_167Er_ERK12,IL2412_NK_167Er_ERK12,IL2412_CD56brightCD16negNK_167Er_ERK12,IL2412_CD56dimCD16posNK_167Er_ERK12,IL2412_gdT_167Er_ERK12,IL2412_Tcells_167Er_ERK12,IL2412_cMC_164Dy_IkB,IL2412_MDSC_164Dy_IkB,IL2412_cMC_159Tb_pMAPKAPK2,IL2412_MDSC_159Tb_pMAPKAPK2,IL2412_intMC_159Tb_pMAPKAPK2,IL2412_ncMC_159Tb_pMAPKAPK2,IL2412_Treg_159Tb_pMAPKAPK2,IL2412_Tregnaive_159Tb_pMAPKAPK2,IL2412_Tregmem_159Tb_pMAPKAPK2,IL2412_cMC_166Er_NFkB,IL2412_MDSC_166Er_NFkB,IL2412_cMC_151Eu_p38,IL2412_MDSC_151Eu_p38,IL2412_intMC_151Eu_p38,IL2412_ncMC_151Eu_p38,IL2412_NK_151Eu_p38,IL2412_CD56brightCD16negNK_151Eu_p38,IL2412_CD56dimCD16posNK_151Eu_p38,IL2412_gdT_151Eu_p38,IL2412_Tcells_151Eu_p38,IL2412_CD4T_151Eu_p38,IL2412_CD4Tnaive_151Eu_p38,IL2412_CD4Tmem_151Eu_p38,IL2412_Treg_151Eu_p38,IL2412_Tregnaive_151Eu_p38,IL2412_Tregmem_151Eu_p38,IL2412_Th1_151Eu_p38,IL2412_Th1mem_151Eu_p38,IL2412_Th1naive_151Eu_p38,IL2412_Th2_151Eu_p38,IL2412_CD8T_151Eu_p38,IL2412_CD8Tmem_151Eu_p38,IL2412_CD8Tnaive_151Eu_p38,IL2412_Treg_155Gd_S6,IL2412_Tregnaive_155Gd_S6,IL2412_Tregmem_155Gd_S6,IL2412_Bcells_150Nd_STAT5,IL2412_Bmem_150Nd_STAT5,IL2412_Bnaive_150Nd_STAT5,IL2412_NK_150Nd_STAT5,IL2412_CD56brightCD16negNK_150Nd_STAT5,IL2412_CD56dimCD16posNK_150Nd_STAT5,IL2412_gdT_150Nd_STAT5,IL2412_Tcells_150Nd_STAT5,IL2412_CD4T_150Nd_STAT5,IL2412_CD4Tnaive_150Nd_STAT5,IL2412_CD4Tmem_150Nd_STAT5,IL2412_Treg_150Nd_STAT5,IL2412_Tregnaive_150Nd_STAT5,IL2412_Tregmem_150Nd_STAT5,IL2412_Th1_150Nd_STAT5,IL2412_Th1mem_150Nd_STAT5,IL2412_Th1naive_150Nd_STAT5,IL2412_Th2_150Nd_STAT5,IL2412_CD8T_150Nd_STAT5,IL2412_CD8Tmem_150Nd_STAT5,IL2412_CD8Tnaive_150Nd_STAT5,IL2412_Granulocytes_168Er_STAT6,IL2412_Bcells_168Er_STAT6,IL2412_Bmem_168Er_STAT6,IL2412_Bnaive_168Er_STAT6,IL2412_cMC_168Er_STAT6,IL2412_MDSC_168Er_STAT6,IL2412_DC_168Er_STAT6,IL2412_mDC_168Er_STAT6,IL2412_pDC_168Er_STAT6,IL2412_intMC_168Er_STAT6,IL2412_ncMC_168Er_STAT6,IL2412_NK_168Er_STAT6,IL2412_CD56brightCD16negNK_168Er_STAT6,IL2412_CD56dimCD16posNK_168Er_STAT6,IL2412_gdT_168Er_STAT6,IL2412_Tcells_168Er_STAT6,IL2412_CD4T_168Er_STAT6,IL2412_CD4Tnaive_168Er_STAT6,IL2412_CD4Tmem_168Er_STAT6,IL2412_Treg_168Er_STAT6,IL2412_Tregnaive_168Er_STAT6,IL2412_Tregmem_168Er_STAT6,IL2412_Th1_168Er_STAT6,IL2412_Th1mem_168Er_STAT6,IL2412_Th1naive_168Er_STAT6,IL2412_Th2_168Er_STAT6,IL2412_CD8T_168Er_STAT6,IL2412_CD8Tmem_168Er_STAT6,IL2412_CD8Tnaive_168Er_STAT6
0020,0.595803841089339,0.225745187315806,0.403951327216045,0.0383343916024554,0.0292554842939605,0.257987610060883,-0.0013548509094185,0.237173078588908,0.0985999341894622,-0.475384636090615,-0.669204926490489,0.184405173804245,0.383927746456473,-0.0902269690721378,-0.0576318749650566,-0.311085523866643,-0.324546650208043,-0.309285651136026,-0.308704413704638,-0.375134526004233,0.473821983986993,0.470825325051658,0.175126756656496,0.161211368042557,0.0878250803141915,0.328606655640954,0.0719803358926701,0.402076092766152,0.146280159600579,0.151005807164945,0.107963653197469,0.197555751789225,0.234988960594743,0.214776187317405,0.247750782815939,0.161498174010796,0.167644283139083,0.126008046933145,0.111131516888253,0.100192826427684,0.116922385776557,0.0795689224269187,-0.0422596524744886,-0.0149419931792363,-0.0470948493118873,0.228731508147283,0.171396758116042,0.238648474615483,0.180992557423621,0.953834307267464,0.162694745596946,0.365573472054553,1.19610092689789,1.31798373022479,1.00177747428284,1.7279257463481,2.33498978387239,2.18625642453,2.38863557346049,1.29847513206134,1.43214420476826,1.18588528452128,1.57529709188555,0.332223982382516,0.480838275813519,0.206438470674774,2.13509283284389,2.00820157295322,1.42782256728919,2.11376301930105,2.76872665147902,2.45829779983822,0.898740832388415,2.52855540876047,2.22480485945135,2.73512544350992,1.45743605326556,1.44750620807159,1.99408968367171,1.2956357812881,1.52712905612082,1.82087844458644,1.83033809042012,1.82152137270044,1.83324632512608,1.74837105697577,1.66545924324177,1.76800725115343,1.65500012040255,1.53127295836026,1.61808318116809,1.66862586746258,1.75008317095167,1.70819024566462,1.79762053982038
0126,0.997092406718956,0.652773758003643,1.63459869692045,0.10569268284021,0.391342056460765,1.09474563507867,0.382839544082594,0.308860397126593,0.112784183348776,-0.609573300024157,-0.50888185530004,0.307842359000665,0.226186886115875,0.425556572632125,-0.131510661153297,-0.190428763025481,-0.162756996696083,-0.196151501489075,0.0856161450958897,-0.0037470276719346,1.25526464195938,1.33555233398161,1.25127357909841,0.18098805340688,0.326160748658114,0.578982054324551,0.320266908301121,0.656489102475799,0.50647940425467,0.522998141466196,0.349028832493542,0.636770110092802,0.625262716012119,0.542151240567523,0.636257230255518,0.656563017989742,0.668318201107066,0.541833873873149,0.615631682352612,0.446641222078712,0.546123305293441,0.395233606040133,-0.0005112575746669,0.0054609017992799,0.0036929723318906,0.353775823507624,0.0354997552407955,0.395750606769276,1.07117912284449,1.44218813071378,1.06156026922147,1.80074420537818,1.6445752829121,1.62543311387839,1.21251864195246,1.80593775417354,1.86853941106278,1.74431913172242,1.8927785348465,1.86504970638642,1.89437462828913,1.56441929585002,1.7195945373079,1.71099750300949,1.820250608262,1.65151419043276,1.80259725079404,3.42313328191271,2.8258410893018,3.49122140919033,4.02511023711371,3.28032295366917,1.32777437827585,3.04558595069508,3.54237681286802,4.23200978283221,2.06828194239054,2.41449626655069,3.08346652805545,2.3933013447025,2.31792867031054,2.63796955735026,2.61941084689703,2.68878932427936,2.56188957175982,2.25304205242092,2.45222647434723,2.20881523896393,2.47950870539196,2.42257085667721,2.91004976029337,2.63153657786878,2.73647473212289,2.54991778571344,2.83753504387054
0145,0.881316598097702,0.603996995425359,1.03757527260698,0.0956389999745771,0.360521156179473,1.12494234928161,0.355393040534953,0.460368409920574,0.215865099929174,-0.870114725192933,-0.502585168280712,0.899974776493701,0.950946375118528,0.838780896631254,0.0627447814084536,-0.0419891920722237,-0.0616227462600279,-0.026154156368473,0.0514622811880847,0.276922907396882,1.2949801393326,1.50269822572729,1.39390708163617,0.102550547996188,0.238987975879236,0.493817322873449,0.227832206613066,0.314045820416853,0.313717355447527,0.329770010331098,0.264277414370248,0.421330708460092,0.439311410105929,0.354484473539538,0.472083931170516,0.358355645796333,0.34154431622692,0.438499460388487,0.366310170837627,0.284074811239725,0.378288555595086,0.260065067358789,-0.0199742501906347,-0.0315109335405991,-0.0149739740801595,0.306522404939091,0.0549927132125886,0.369801348569293,1.54989166246581,1.75826019741565,1.51840955449623,2.00945440541179,2.05912325556193,2.12306285997879,1.89414903471562,2.32977858664583,2.35787625001895,2.2441839305177,2.39842763985799,2.01465795759117,2.04767134479527,1.83782779890057,2.16101008609409,1.98776561683046,2.16239504657944,1.93918956852302,2.50951832714624,3.54150069468729,3.06503452551668,3.61790568343431,4.2335146775599,3.46899963629286,1.26971815033848,3.29974585865568,3.71707275659599,4.3517449297854,2.70112521397466,2.64534539252966,3.07663932913219,2.63760456283327,2.59211161233189,2.79521392429078,2.81536101804951,2.80635531356895,2.80648437570647,2.58189613324741,2.68921515738111,2.5164241745594,2.55576682814122,2.53225644669277,2.74168896051742,2.84977531088222,2.60509288266955,2.66401642737672,2.58889244311234
0004,0.41294782035199,0.246711279006877,0.14949505506907,0.17802879566054,0.0778085474271955,0.1773926314211,0.0476542026619915,0.109774995085069,0.0763887970854713,,,-0.186004569970847,-0.156668331943132,-0.801587736641604,0.309371944485488,-0.192150457996766,-0.196741967181204,-0.192285995823711,0.025959771945427,0.0118645207791448,0.196718230934193,0.12108691616476,-0.381536418998606,0.450620072945274,0.07395168234282,0.166007955685975,0.0610003753274807,0.0167280272419916,0.111020765661419,0.164211172979275,0.205776367620823,0.153554362240091,0.362843668101861,0.366294675488703,0.365635543239122,0.0291568889846779,0.0288802931017513,-0.0505161124797334,0.212869133707251,0.0374454996267053,0.0898166931404786,0.0173577865325088,0.0185385652492551,-0.0454261669282913,0.0224606840586132,0.225367113722218,0.127789883632625,0.2289284605287,0.15149885887873,0.305281074707654,0.120846450737695,0.0657215077798739,0.403903241889667,0.736677205714788,0.548284501222239,0.810116815515984,1.78776604981193,1.77026279841944,1.7905704136559,0.200116888691486,0.19426835706782,0.226264249635633,1.00098916890049,0.102698329765196,0.272355552982083,0.0682533308387584,3.14760885045573,3.74725040208799,3.17478115299765,3.76318111233926,4.14655891931291,4.06449159448157,1.75242196865128,3.99107509168331,3.58578492781743,2.66480217659905,3.03631103277879,2.47743180268663,2.84969913208555,2.38770663938944,2.10756641349263,2.6658464620388,2.88108966132258,2.96732477819696,2.83254934872073,2.95121283082408,2.85281915983934,2.95410998311846,2.13553611230563,2.11837611397302,2.48904450289435,3.06545143773401,2.1677097334942,2.51158860938862,2.04040523940301
0005,0.158001767176324,0.236816058567412,0.0411042867055931,0.0,0.0126332440654808,0.0166518819943453,0.0141509387265619,-0.0178787714870412,0.0081295044821576,-0.278561077236075,-0.268689208068827,0.257027988319802,0.335209856035676,0.237103463814798,-0.0005423887366849,-0.0070732564220254,-0.16080035635939,-0.0026555825301008,-0.0098707747080188,0.0196648473933462,0.363301053712124,0.529166057276478,0.333354500423047,0.0,0.0,-0.0776565588965504,-0.0045892260066552,0.0046221121480854,0.0160841220108969,0.0283811739176469,0.0200132845535637,0.0282684164723177,0.153850023725142,0.0,0.157631968295749,0.0068640248111944,-0.0002554139285852,0.128181027427837,0.0744071059682306,-0.0044315003100372,-0.0036739537380362,-0.0056876265199204,0.0,0.0,0.0,0.148050260256978,0.0600909058204828,0.187867420003117,0.041819493508266,0.424074070181566,0.0421741278058545,0.331487476372056,0.156443186168401,0.258524521549876,0.390068474688583,0.23952350442487,2.28221282865157,1.94051072558852,2.29455095053965,0.0120079900227421,-0.0077948289473728,0.364344628436369,0.753070708942403,0.0629263848377836,0.118844919394072,0.0266601703643444,3.05306317119986,3.21624703099617,2.81930277234901,3.31037383229785,3.91556277125392,3.8102755441085,0.290723192419295,2.54804298353752,3.21368579345246,3.92475882235395,1.13447662945899,2.07859769083361,2.68881225920026,2.08453668926129,1.49409160459504,1.94323620902169,2.04455678501188,2.33124346474405,2.0032454580845,1.8577006688536,2.36310529082572,1.84535664197912,1.71179896917902,1.68377459536265,2.60771706327551,2.27668342831421,1.80910381308804,1.96575246971003,1.6637660689581
0013,0.0949165749299183,0.0014560297023393,-0.194459025153444,0.195839018762648,0.0766067494586687,0.844276940259988,0.0803521980929353,0.0853026594206424,0.100315997266549,-0.586998795605405,-0.531855284506036,-0.418398392370749,-0.405432434547686,-0.631317056928797,-0.565820138469213,-0.591080465072178,-0.446657474563549,-0.591565734460307,-0.302301068746355,-0.259033453321667,0.077617953241149,0.162102673146732,0.0710777975843322,-0.0452681486601051,0.0645743769051007,0.480725505946152,0.0688839476008454,0.582802180615134,0.0042995320207093,0.0434063168372725,0.0116261910172414,0.0470075751043164,0.228026846503018,0.213139178550259,0.227963683395734,-0.0009060458281367,-0.0010752517159667,0.0219891934207736,0.171023808329379,-0.0353292423623707,-0.0031511978236219,-0.0630002572774376,-0.113177982264167,-0.152521703127739,-0.113703188612052,0.354345995420512,0.0537198220865318,0.411323981470411,0.46830319586189,1.61664507999103,0.480073690459349,1.0550219163456,0.451653726838031,0.83290246327113,1.01469646671381,0.797348765528339,2.28445367331367,1.9845385167119,2.29388940687679,0.292236050197148,0.292777578870967,0.225004839457211,1.95310714290485,0.271330360174165,0.344758633174542,0.224127236507313,,3.41769321646492,2.77906430981115,3.46044882640519,3.98529878454884,3.89201289195242,1.94649875072977,3.45750804344838,3.46211851013469,4.01693766289539,3.15795504783321,2.35687999640346,3.19546312760394,2.3726417136892,1.89265268912112,2.1358104826767,2.27648866421108,2.53568588413595,2.22512365054568,2.54971528259693,2.63303220086628,2.54460162756411,1.92297874133874,1.90680591552511,2.34571473871244,2.68188458719287,2.00378700400518,2.11514393494463,1.90616347238898
0016,0.397156827638727,0.339228442272244,0.972915336538447,0.0603271815810086,0.0964855970211641,0.741317576761243,0.0656712280715031,0.226205598386482,0.15962450808093,-0.500038046511123,-0.463946813078002,-0.334876421420984,-0.400955137975633,-0.377130635467298,-0.467210549968052,-0.616849072853428,-0.614947687415295,-0.626802385987965,-0.186146354939321,-0.374444467706808,-0.368668441718807,-0.410736240342598,-0.351815836674785,-0.0540417483558232,0.0715638353527051,0.399386526030134,0.0505795615746898,0.124701704759948,0.0726682319122396,0.126907635228145,0.0789316042059695,0.142771587455287,0.231656398055074,0.209498953367155,0.235763407773179,0.124879648447895,0.126142743172106,0.123582310891326,0.196642018646552,0.0078124883753015,0.0304316926652029,-0.0114656235532095,-0.101636617587601,-0.230899898256503,-0.0890280164195288,0.226983242824684,0.036701873726419,0.245543147886668,0.265599576027135,1.55133062064052,0.23492066954521,0.304571974881773,0.78815091348609,1.56124979179366,1.06357244007591,1.68012574832858,2.35291794275331,2.35298597970261,2.35148115277135,0.918616085871453,1.05021712342812,0.569574410288138,2.17208473834943,0.225643236726591,0.353606861581619,0.140408645222297,1.93548114723278,3.41944017389201,3.03893080778007,3.4778012556156,4.20709969348447,3.17970389177445,1.49714144287719,2.49577642402767,3.27524148663834,4.27890355044213,2.69396879936644,2.30666935872466,3.2257199406056,2.38264252577588,2.14602313542186,2.5900246390564,2.79772568338047,2.84080115819278,2.78323646127623,2.5679275552748,2.71567056301802,2.5477986187568,2.60219309839844,2.5863307895661,2.56392051641603,2.74183056657508,2.39200112028643,2.46135596063878,2.3178717176565
0026,0.155311507882101,0.12512726437383,0.139986369729651,0.0465104569867564,0.156079909983877,0.241812406142725,0.156000852923931,0.21499785626598,0.083831137253798,-0.37703882301793,-0.36217488990562,-0.206185489165983,-0.0692986014287978,0.189501532650315,-0.22222069598415,-0.266578094728755,-0.262973139762889,-0.288246818328499,-0.129604649814368,-0.0720165427457878,0.304965817091525,0.284939772535961,0.312081048805787,0.0722869169797976,0.138495269186678,0.17698253977503,0.139114440309834,0.224974260392262,0.109513521900015,0.0948317408033325,0.0424478660492713,0.127575135873988,0.161889329993579,0.0850111654031135,0.170952793655607,0.144017545285264,0.135960100054786,0.154334249457516,0.0776948436350986,0.112544491136742,0.177898874415542,0.074130454386493,-0.0538586599424354,-0.0847320618969248,-0.0537187559889179,0.236090528888083,0.087369347814158,0.365615296034191,1.5310319759313,1.67507667814551,1.5311765276228,1.92369864447018,1.95661911416276,1.99843086701824,1.73399403920654,2.11227743951604,2.30498022187018,1.95819102780018,2.32173110549934,2.06248529884129,2.04880403476905,2.12278020858052,1.99092018122514,1.96104978440094,2.05884491689218,1.89825725646027,2.42012867840343,3.18127180788558,2.0246712224529,3.42281983529247,4.04867417663736,3.95365118133112,0.237019844503963,3.66367370273211,2.94333104882319,4.01738989739621,1.87911582098715,2.20920834409012,2.35363932512076,2.21675373142572,1.59717086914509,2.1032394175229,2.17533386480334,2.35047697111461,1.97904516317918,1.91582947483486,2.35738877232791,1.89428772821998,1.84010731636471,1.77090059739072,2.39750795240047,2.38625623566331,2.24524431712434,2.00519330278799,2.39239930961202
0036,0.824407944148461,1.1287730308866,-0.181560181203448,0.0487153336073668,0.122588980002804,0.300983341350857,0.136979195292287,0.0693025299096826,0.0815663162651239,-0.337234760249061,-0.428502090364956,0.505669348325457,0.554417336678968,0.626886367486329,0.0303298009683654,-0.0383994548379563,-0.114136826136719,-0.0205952085344659,0.0624248015883504,0.17697111844877,0.417291775800476,0.55616553304313,0.284428858391718,0.195235391051171,0.300926826049007,0.410063181268688,0.303367608369375,0.437114192616495,0.298698017269158,0.288958837073053,0.252598383377486,0.318181997265338,0.343539436660371,0.430251727317891,0.324154257205229,0.23248822731737,0.324318044871281,-0.0950367210845032,0.220729022667625,0.329049114425705,0.406081112814412,0.265839599468384,-0.0101610020509686,0.0363725483582806,-0.0208569914989886,0.0608148685229973,0.0461902903918521,0.0590289302493935,1.53349876988548,1.85961874727,1.54683725101907,1.94663316791651,2.22194955652258,2.23335281349238,2.04835011973485,2.40366200262469,2.49151885656482,2.43153485549266,2.50538845509926,2.23853739076213,2.47528705409414,2.17514101797187,2.23307029578329,2.21502845082592,2.2680557443681,2.16801666473476,2.25088186981858,1.77932185130839,1.45076580357884,1.87323970684088,2.55432437000605,2.82246080053313,0.762960532434389,2.35704125616528,2.21729115545015,2.6057672969056,1.70500363040608,1.42381427466717,1.54831294580809,1.33003005006481,1.22679565274057,1.52191308383427,1.58336221925959,1.6101807170894,1.5333385117125,1.43081592237031,1.45681033581274,1.40920261950842,1.32998350216944,1.39961396422989,1.19717103301954,1.51273332254799,1.37166902980253,1.33636024393157,1.42062993631301
